character,reading,meaning,level,level_label,radical,stroke_count
柖,소,나무흔들릴,0,특급,木,5
翛,소,날개소리,0,특급,羽,7
慅,소,소란스러울,0,특급,心,10
埽,소,쓸,0,특급,土,8
玿,소,아름다운옥,0,특급,玉,5
愫,소,정성,0,특급,心,10
霄,소,하늘,0,특급,雨,7
愬,소,하소연할,0,특급,心,10
觫,속,곱송그릴,0,특급,角,7
餗,속,삶은나물,0,특급,食,7
藚,속,쇠귀나물,0,특급,艸,15
樕,속,참나무,0,특급,木,11
蔌,속,푸성귀,0,특급,艸,11
飱,손,저녁밥,0,특급,食,4
飧,손,저녁밥/물만밥,0,특급,食,3
蟀,솔,귀뚜라미,0,특급,虫,11
竦,송,공경할/두려울,0,특급,立,7
洒,쇄,뿌릴,0,특급,水,6
瑣,쇄,옥가루,0,특급,玉,10
繻,수,고운비단,0,특급,糸,14
叟,수,늙은이,0,특급,又,7
濉,수,물이름,0,특급,水,13
魗,수,미워할,0,특급,鬼,14
睟,수,바로볼,0,특급,目,8
穟,수,벼이삭,0,특급,禾,13
檖,수,산배,0,특급,木,13
豎,수,세울,0,특급,豆,8
瞍,수,소경,0,특급,目,9
廋,수,숨길,0,특급,广,9
殳,수,창,0,특급,殳,0
售,수,팔,0,특급,口,8
橚,숙,무성할,0,특급,木,13
俶,숙,비롯할,0,특급,人,8
肫,순,광대뼈,0,특급,肉,4
郇,순,나라이름,0,특급,邑,6
鶉,순,메추리,0,특급,鳥,8
漘,순,물가,0,특급,水,11
犉,순,입술검은누렁소,0,특급,牛,8
璱,슬,아름다운옥,0,특급,玉,13
熠,습,빛날,0,특급,火,11
隰,습,진펄,0,특급,阜,14
諟,시,다스릴,0,특급,言,9
鳲,시,뻐꾸기,0,특급,鳥,3
啻,시,뿐,0,특급,口,9
枲,시,수삼,0,특급,木,5
釃,시,술거를,0,특급,酉,19
緦,시,시마(緦麻),0,특급,糸,9
兕,시,외뿔소,0,특급,儿,6
塒,시,홰,0,특급,土,10
偲,시,힘쓸,0,특급,人,9
栻,식,점치는판,0,특급,木,6
贐,신,노자,0,특급,貝,14
駪,신,많을,0,특급,馬,6
甡,신,수두룩할,0,특급,生,5
璶,신,옥돌,0,특급,玉,14
哂,신,웃을,0,특급,口,6
矧,신,하물며,0,특급,矢,4
蟋,실,귀뚜라미,0,특급,虫,11
諗,심,고할,0,특급,言,8
葚,심,오디,0,특급,艸,9
迓,아,맞을,0,특급,辵,4
咢,악,깜짝놀랄,0,특급,口,6
鴈,안,기러기,0,특급,鳥,4
犴,안,들개/옥(獄),0,특급,犬,3
訐,알,들추어낼,0,특급,言,3
遏,알,막을,0,특급,辵,9
歹,알,뼈앙상할,0,특급,歹,0
揠,알,뽑을,0,특급,手,9
戛,알,창/어근버근할,0,특급,戈,7
頞,알,콧대,0,특급,頁,6
黯,암,검을,0,특급,黑,9
鞅,앙,가슴걸이,0,특급,革,5
卬,앙,나,0,특급,卩,2
盎,앙,동이,0,특급,皿,5
泱,앙,물깊고넓을,0,특급,水,5
餲,애,밥쉴,0,특급,食,9
僾,애,비슷할/돋보기,0,특급,人,13
藹,애,초목우거질,0,특급,艸,16
阨,액,막힐,0,특급,阜,4
頟,액,이마,0,특급,頁,6
戹,액,좁을,0,특급,戶,1
嚶,앵,꾀꼬리소리,0,특급,口,17
瀹,약,데칠/지질,0,특급,水,17
禴,약,봄제사,0,특급,示,17
籥,약,피리,0,특급,竹,17
饟,양,건량,0,특급,食,17
颺,양,날릴,0,특급,風,9
鍚,양,말이마치장,0,특급,金,9
漾,양,물출렁거릴,0,특급,水,11
昜,양,볕,0,특급,日,5
瀼,양,이슬많은모양,0,특급,水,17
圉,어,마부,0,특급,囗,8
